Question,Subject,Answer,A,B,C,D
কাজী নজরুল ইসলাম রচিত গ্রন্থ কোনটি?,BANGLA-LITERATURE,D,অগ্নিকোণ,মরুশিখা,মরুসূর্য,রাঙাজবা
‘আত্মঘাতী বাঙালি’ কার রচিত গ্রন্থ?,BANGLA-LITERATURE,C,অশোক মিত্র,দেবীপ্রসাদ চট্টোপাধ্যায়,নীরদচন্দ্র চৌধুরী,অতুল সুর
‘সংস্কৃতির ভাঙা সেতু’ গ্রন্হ কে রচনা করেছেন?,BANGLA-LITERATURE,C,মোতাহের হোসেন চৌধুরী,বিনয় ঘোষ,আখতারুজ্জামান ইলিয়াস,রাধারমণ মিত্র
কাক ভূষণ্ডির অর্থ কি?,BANGLA-LANGUAGE,D,ষড়যন্ত্রকারী,বাকসর্বস্ব,দীর্ঘ প্রতীক্ষমাণ,দীর্ঘায়ু ব্যক্তি
নিত্য মূর্ধণ্য-ষ কোন শব্দে বর্তমান?,BANGLA-LANGUAGE,D,কষ্ট,উপনিষৎ,কল্যাণীয়েষু,আষাঢ়
\[\mathrm {Each\ question\ below\ consist\ of\ a\ related\ pair\ of\ words.Select\ the\ pair\ that\ best\ expresses\ a\ relationship\ similar\ to\ that\ expressed\ in\ the\ original\ pair.\ }\] \[\] \[\mathrm {EXCITE : CALM\ }\],ENGLISH-LANGUAGE,D,restrain : compose,agitate : trouble,upset : preturb,stimulate : cool down
DELAY :  EXPEDITE,ENGLISH-LANGUAGE,D,related : halt,block : obstruct,drag : procrastinate,detain : dispatch
ANARCHY : GOVERNMENT,ENGLISH-LANGUAGE,A,penury : wealth,chaos : disorder,monarchy : republic,verbosity : words
VACCINE : PREVENT,ENGLISH-LANGUAGE,C,wound : heal,victim : attend,antidote : counteract,diagnosis : cure
"–––– glass is, for all practical purposes, a solid, its molecular structure is that of a liquid.",ENGLISH-LANGUAGE,C,Because,Since,Although,If
"An intensive search was conducted by the detective to locate those criminals, who ––",ENGLISH-LANGUAGE,B,have had escaped,had escaped,are escaping,have been escaping
The intellectual can no longer be said to live ––– the margine of society.,ENGLISH-LANGUAGE,B,against,beyond,inside,before
"According to the conditions of my scholarship, after finishing my degree-",ENGLISH-LANGUAGE,C,my education will be employed the University,employment will be given to me by the University,the University will employ me,I will be employed of the University
"If a substance is cohesive, it tends to –––",ENGLISH-LANGUAGE,C,retain heat,bend without much difficulty,stick together,break easily
He stopped his car ___. When the light turned red.,ENGLISH-LANGUAGE,A,abruptly,equitably,ambiguously,incisively
"\[\mathrm {Each\ sentence\ contains\ two\ blanks,\ Choose\ the\ set\ of\ words\ for\ each\ blank\ that\ best\ completes\ the\ sentence.\ }\] \[\] \[\mathrm {The\ influence\ of\ the\ technological\ revolution\ in\ –– and\ –– the\ –– concentration\ of\ wealth\ and\ power\ in\ the\ hands\ of\ the\ few\ should\ worry\ us\ all.\ }\]",ENGLISH-LANGUAGE,C,Proliferating–diminishing,Undermining–neutralizing,Accelerating–intensifying,Aggravating–demolishing.
Few people would care to take the negative side of the proposition that the women of the world are – and –,ENGLISH-LANGUAGE,B,admired–provkoked,oppressed– scorned,rebuked–regaled,slighted–celebrated
"Anger, even when it is ___ has one virtue, it overcome–",ENGLISH-LANGUAGE,B,sinful–sloth,inevitable – desire,unnecessary – malice,intense – hate
The word ‘dilly dally’ means–,ENGLISH-LANGUAGE,D,To dilute,Wait impatiently,Repeat,Waste time
The word ‘Euphemism’ means-,ENGLISH-LANGUAGE,B,Stating one thing like another,Description of a disagreeable thing by an agreeable name,Contrast of words is made in the same sentence,A statement is made emphatic by verstatement.
The passive form of the sentence ‘Some children were helping the wounded man’––,ENGLISH-LANGUAGE,C,The wounded man was helped by some children,The wounded man was helping by some children,The wounded man was being helped by some children,The wounded man was to be helped by some children
The author is mainly concerned with–,ENGLISH-LANGUAGE,A,the nature of rumor,the fascination of rumors,rumor as primitive mans newspaper,the breeding places of rumors
The author suggests that rumors usually–,ENGLISH-LANGUAGE,B,alarm their hearers,are hardy in their growth,are disheartening,can be suppressed by censorship
The author states that during war time the regular sources of news present only-,ENGLISH-LANGUAGE,C,optimistic reports,pessimistic reports,limited information,government propaganda
Which of the following best describes the author’s personal attitude toward rumor?,ENGLISH-LANGUAGE,C,Excited enthusiasm,Morbid curiosity,Acute indignation,Philosophical interest
গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান কার্যকর হয় কোন তারিখ থেকে?,BANGLADESH-AFFAIRS,B,"জানুয়ারি ১০, ১৯৭৩","ডিসেম্বর ১৬, ১৯৭২","নভেম্বর ৪, ১৯৭২","অক্টোবর ১১, ১৯৭২"
বাংলাদেশের জেলা সংখ্যা কত?,BANGLADESH-AFFAIRS,C,৩৬ টি,৫৪ টি,৬৪ টি,৪৪ টি
বাংলাদেশের সংসদীয় ব্যবস্থা সংবিধানের কোন সংশোধনীর মাধ্যমে পুনঃপরিবর্তিত হয়?,BANGLADESH-AFFAIRS,D,অষ্টম,নবম,একাদশ,দ্বাদশ
বাংলার ফরায়েজী আন্দোলনের সূচনাকারী কে?,BANGLADESH-AFFAIRS,C,তিতুমীর,হাজী মোহাম্মদ মহসীন,হাজী শরীয়তুল্লাহ,হাজী মোহাম্মদ দানেশ
বাংলার প্রাচীনতম জায়গা কোনটি?,BANGLADESH-AFFAIRS,C,সোনারগাঁও,বিক্রমপুর,পুণ্ড্র,গোপালগঞ্জ
মুজিবনগর কোথায় অবস্থিত?,BANGLADESH-AFFAIRS,B,সাতক্ষীরায়,মেহেরপুরে,চুয়াডাঙ্গায়,নবাবগঞ্জে
১৯৭১ সালের ১৬ ডিসেম্বর পাকিস্তানি বাহিনী ঢাকার কোথায় আত্মসমর্পন করে?,BANGLADESH-AFFAIRS,C,রমনা পার্কে,পল্টন ময়দানে,তৎকালীন রেসকোর্স ময়দানে,ঢাকা ক্যান্টনমেন্টে
বাংলাদেশে কোনো ব্যক্তির ভোটাধিকার প্রাপ্তির ন্যূনতম বয়স কত?,BANGLADESH-AFFAIRS,B,১৬ বছর,১৮ বছর,২০ বছর,২১ বছর
বাংলাদেশের জাতীয় সংসদে সংরক্ষিত মহিলা আসনের সংখ্যা কত?,BANGLADESH-AFFAIRS,,২০,২৫,৩০,৪০
বঙ্গবন্ধু সেতুর দৈর্ঘ্য কত?,BANGLADESH-AFFAIRS,B,৪.৫ কি.মি.,৪.৮ কি.মি.,৫.২ কি.মি.,৬.২ কি.মি.
বাংলাদেশের প্রথম ‘ইপিজেড’ কোথায় স্থাপিত হয়?,BANGLADESH-AFFAIRS,B,সাভারে,চট্টগ্রামে,মংলায়,ঈশ্বরদীতে
বাংলার ১৯৪৩ সালের দুর্ভিক্ষের ওপর ছবি এঁকে বিখ্যাত হন কোন শিল্পী?,BANGLADESH-AFFAIRS,B,এস এম সুলতান,জয়নুল আবেদিন,কামরুল হাসান,শফিউল আলম
পার্বত্য চট্টগ্রামে শান্তিচুক্তি কবে সম্পাদিত হয়?,BANGLADESH-AFFAIRS,B,"নভেম্বর ১২, ১৯৯৭","ডিসেম্বর ২, ১৯৯৭","ডিসেম্বর ১৬, ১৯৯৭","ডিসেম্বর ২৫, ১৯৯৭"
১৯৭১ সালে মুক্তিযুদ্ধকালে বাংলাদেশকে কয়টি সামরিক সেক্টরে বিভক্ত করা হয়েছিল?,BANGLADESH-AFFAIRS,B,৯টি,১১টি,১৫টি,১৭টি
বাংলাদেশের অন্তর্গত সুন্দরবনের আয়তন কত?,BANGLADESH-AFFAIRS,A,২৪০০ বর্গমাইল,১৯৫০ বর্গমাইল,৯২৫ বর্গমাইল,২০০ বর্গমাইল
বাংলাদেশ কোন সালে কমনওয়েলথ এর সদস্য পদ লাভ করে?,BANGLADESH-AFFAIRS,A,১৯৭২ সালে,১৯৭৩ সালে,১৯৭৪ সালে,১৯৭৫ সালে
নিম্নলিখিত কোনটির উপর বাংলাদেশ অবস্থিত?,BANGLADESH-AFFAIRS,B,ট্রপিক অব ক্যাপ্রিকন,ট্রপিক অব ক্যানসার,ইকুয়েটর,আর্কটিক সার্কেল
মুক্তিযুদ্ধে বীরত্বপূর্ণ অবদানের জন্য কতজনকে বীরউত্তম খেতাবে ভূষিত করা হয়?,BANGLADESH-AFFAIRS,,৪২ জন,৫৮ জন,৬৮ জন,৬২ জন
"১৯৭১ সালে মুক্তিযুদ্ধের শুরুতে বঙ্গবন্ধু সম্পর্কে এক ব্যক্তি দম্ভোক্তি করে, যা বলেছিল নিম্নরূপ: ‘লোকটি এবং তার দল পাকিস্তানের শত্রু, এবার তারা শাস্তি এড়াতে পারবে না।’- এ দম্ভোক্তিকারী ব্যক্তি কে ছিল?",BANGLADESH-AFFAIRS,C,জেনারেল নিয়াজী,জেনারেল টিক্কা খান,জেনারেল ইয়াহিয়া খান,জেনারেল হামিদ খান
"‘যুদ্ধই জীবন, যুদ্ধই সর্বজনীন’ -এটি কার উক্তি?",BANGLADESH-AFFAIRS,C,সালজার,ফ্রাঙ্কো,হিটলার,মুসোলিনী
এশিয়ার দীর্ঘতম নদী কোনটি?,INTERNATIONAL-AFFAIRS,B,হোয়াংহো,ইয়াংসিকিয়াং,গঙ্গা,সিন্ধু
ঢাকাতে সমাপ্ত উইলস ইন্টারন্যাশনাল কাপ ক্রিকেট প্রতিযোগিতায় কয়টি দল অংশ নেয়?,INTERNATIONAL-AFFAIRS,B,৭ টি,৯ টি,১১ টি,১২ টি
আমলাতন্ত্রের প্রধান প্রবক্তা কে?,INTERNATIONAL-AFFAIRS,B,এফ.এম. মার্কস,ম্যাক্সওয়েবার,রবার্ট প্রেসথাস,কার্ল মার্কস
সাহিত্যে ১৯৯৮ এর নোবেল পুরস্কার কে পেয়েছেন?,INTERNATIONAL-AFFAIRS,D,অরুন্ধতি রায়,সালমান রুশদী,ভি এস নাইপল,হোসে সারামাগো
কোন দেশটি অতীতে কখনো অন্য কোনো দেশের উপনিবেশে পরিণত হয়নি?,INTERNATIONAL-AFFAIRS,A,থাইল্যান্ড,মিয়ানমার,ইন্দোনেশিয়া,মালয়েশিয়া
ইউরোপিয়ান ইউনিয়ন (ইইউ)-এর একক মুদ্রা কবে থেকে চালু হচ্ছে?,INTERNATIONAL-AFFAIRS,A,"১ জানুয়ারি, ১৯৯৯","১ জুলাই, ১৯৯৯","১ মার্চ, ২০০০","১ জুলাই, ২০০০"
চীনের ‘দ্বৈত অর্থনীতির’ ধারণা প্রধানত কোন বাস্তবতার নিরীখে গৃহীত?,INTERNATIONAL-AFFAIRS,C,বাজার অর্থনীতিকে গ্রহণযোগ্য করা,মতাদর্শগত ধারণার সমন্বয় সাধন,হংকং এর অর্থনীতিকে সচল রাখা,তাইওয়ানকে চীনের অন্তর্ভূক্তকরণ
রাশিয়ার পূর্বাঞ্চলের সর্ববৃহৎ শহর কোনটি?,INTERNATIONAL-AFFAIRS,B,সাইবেরিয়া,ভ্লাদিভস্টক,খায়বারভস্ক,বোখারা
কানাডার ফরাসি ভাষী জনগোষ্ঠী কোন অঙ্গরাজ্যে সর্বাধিক বাস করে?,INTERNATIONAL-AFFAIRS,B,আলবার্টা,কুইবেক,মেনিটোবা,নোভাস্কোশিয়া
কসোভো নগরীর সাথে সার্বীয়দের স্পর্শকাতর সম্পর্কের কারণ কি?,INTERNATIONAL-AFFAIRS,B,এর রণকৌশলগত গুরুত্ব,এর ধর্মীয় ঐতিহ্য ও ঐতিহাসিক স্মৃতি,মুসলিম বিদ্বেষের প্রবণতা,আলবেনীয়দের ঔদ্ধত্য
আফগানিস্তানের কোন শহরে তালিবানরা ইরানের কূটনীতিবিদদের হত্যা করেছে?,INTERNATIONAL-AFFAIRS,A,মাজার-ই-শরীফ,হেরাট,জালালাবাদ,কান্দাহার
উত্তর আফ্রিকার দেশগুলোর ভৌগোলিক সীমারেখার বৈশিষ্ট্য কি?,INTERNATIONAL-AFFAIRS,A,জ্যামিতিক সীমারেখা,ঔপনিবেশিক সীমারেখা,উপজাতিক ভিত্তিক সীমারেখা,অচিহ্নিত সীমারেখা
কোন দেশে প্রথম আণবিক বোমা ফেলা হয়?,INTERNATIONAL-AFFAIRS,C,ইতালি,জার্মানি,জাপান,চীন
নিম্নলিখিত কোন আঞ্চলিক/আন্তর্জাতিক প্রতিষ্ঠানটির সদর দপ্তর ঢাকায় অবস্থিত?,INTERNATIONAL-AFFAIRS,D,SAARC,APEC,ADB,CIRDAP
সার্ক কোন বছর প্রতিষ্ঠিত হয়?,INTERNATIONAL-AFFAIRS,B,১৯৭৫ সালে,১৯৮৫ সালে,১৯৮৭ সালে,১৯৯০ সালে
কোন দেশের একজন উপ-প্রধানমন্ত্রী সম্প্রতি বরখাস্ত হয়েছেন?,INTERNATIONAL-AFFAIRS,D,সিঙ্গাপুর,থাইল্যান্ড,ইন্দোনেশিয়া,মালয়েশিয়া
ইউরোপের কোন দেশে সম্প্রতি জাতিসত্তা সংঘাতের সমস্যাটির সমাপ্তি হয়েছে। একটি  শান্তি চুক্তির মাধ্যমে?,INTERNATIONAL-AFFAIRS,B,স্কটল্যান্ড,আয়ারল্যান্ড,নেদারল্যান্ড,সুইজারল্যান্ড
জাতিসংঘের বর্তমান মহাসচিব কোন মহাদেশের?,INTERNATIONAL-AFFAIRS,C,এশিয়া,আফ্রিকা,ইউরোপ,দক্ষিণ আমেরিকা
‘ম্যাকাও’ চীন সাগরে অবস্থিত একটি দ্বীপ যা কিনা একটি ইউরোপীয় দেশের কলোনি। ঐ ইউরোপীয় দেশটির নাম কি?,INTERNATIONAL-AFFAIRS,C,নেদারল্যান্ড,স্পেন,পর্তুগাল,ইউকে
কোন চুক্তি অনুসারে বসনিয়া সংকট সমাধানের পথ সুগম হয়েছিল?,INTERNATIONAL-AFFAIRS,C,জেনেভা চুক্তি,মাদ্রিদ চুক্তি,ডেটন চুক্তি,প্যারিস চুক্তি
কোনটি তেজস্ক্রিয় পদার্থ নয়?,GENERAL-SCIENCE,A,লৌহ,ইউরেনিয়াম,প্লুটোনিয়াম,নেপচুনিয়াম
কোন বস্তুটির স্থিতিস্থাপকতা বেশি?,GENERAL-SCIENCE,C,রবার,এলুমিনিয়াম,লৌহ,তামা
কোন পদার্থটি চৌম্বক পদার্থ নয়?,GENERAL-SCIENCE,C,কাঁচা লৌহ,ইস্পাত,এলুমিনিয়াম,কোবাল্ট
যে মসৃণতলে আলোর নিয়মিত প্রতিফলন ঘটে তাকে কি বলে?,GENERAL-SCIENCE,A,দর্পণ,লেন্স,প্রিজম,বিম্ব
রাডারে যে তড়িৎ চৌম্বক ব্যবহার করা হয় তার নাম কি?,GENERAL-SCIENCE,B,গামা রশ্মি,মাইক্রোওয়েভ,অবলোহিত বিকিরণ,আলোক তরঙ্গ
মহাজাগতিক রশ্মি আবিষ্কার করে কোন বিজ্ঞানী নোবেল পুরস্কার পান?,GENERAL-SCIENCE,A,হেস,গোল্ডস্টাইন,রাদারফোর্ড,আইনস্টাইন
তড়িৎশক্তি শব্দশক্তিতে রূপান্তরিত হয় কোন যন্ত্রের মাধ্যমে?,GENERAL-SCIENCE,C,এমপ্লিফায়ার,জেনারেটর,লাউড স্পিকার,মাইক্রোফোন
সমুদ্রের গভীরতা মাপা হয় কোন যন্ত্র দিয়ে?,GENERAL-SCIENCE,A,ফ্যাদোমিটার,জাইরো কম্পাস,সাবমেরিন,এনিওমিটার
কম্পিউটার কে আবিষ্কার করেন?,GENERAL-SCIENCE,C,উইলিয়াম অটরেড,ব্লেইসি প্যাসকেল,হাওয়ার্ড এইকিন,অ্যাবাকাস
কোন হরমোনের অভাবে ডায়াবেটিস রোগ হয়?,GENERAL-SCIENCE,D,থাইবোসিন,গ্লুকাগন,এড্রিনালিন,ইনসুলিন
বার্ষিক \(\mathrm{৪\frac{১}{২}}\) সরল সুদে কত টাকা বিনিয়োগ করলে ৪ বছরে তা ৮২৬ টাকা হবে?,MATHEMATICAL-REASONING,C,৪৫৮ টাকা,৬৫০ টাকা,৭০০ টাকা,৭২৫ টাকা
পিতার বর্তমান বয়স পুত্রের বয়সের চারগুণ। ৬ বছর পূর্বে পিতার বয়স পুত্রের বয়সের দশগুণ ছিল। পিতা ও পুত্রের বর্তমান বয়স কত?,MATHEMATICAL-REASONING,C,৫৬ এবং ১৪ বছর,৩২ এবং ৭ বছর,৩৬ এবং ৯ বছর,৪০ এবং ১০ বছর
দুটি নল দ্বারা একটি চৌবাচ্চা ৮ মিনিটে পূর্ণ হয়। নল দুটি খুলে দেয়ার ৪ মিনিট পর প্রথম নলটি বন্ধ করে দেয়াতে চৌবাচ্চাটি পূর্ণ হতে আরো ৬ মিনিট লাগল। প্রত্যেক নল দ্বারা পৃথকভাবে চৌবাচ্চাটি পূর্ণ হতে কত সময় লাগবে?,MATHEMATICAL-REASONING,B,১৮ এবং ১২ মিনিট,২৪ এবং ১২ মিনিট,১৫ এবং ১২ মিনিট,১০ এবং ১৫ মিনিট
\({\mathrm {x \over y}}\) এর সঙ্গে কত যোগ করলে যোগফল \({\mathrm {2y \over x}}\) হবে?,MATHEMATICAL-REASONING,A,\({\mathrm {2y^2-x^2 \over xy}}\),\({\mathrm {x^2-2y^2 \over xy}}\),\({\mathrm {x^2+2y^2 \over xy}}\),\({\mathrm {x^2-y^2 \over xy}}\)
\({\mathrm {x^2 + y^2=8}}\) এবং \({\mathrm {xy=7}}\) হলে \({\mathrm {(x + y)^2}}\) এর মান কত?,MATHEMATICAL-REASONING,C,১৪,১৬,২২,৩০
ঢাকা ও চট্টগ্রামের দূরত্ব ৩০০ কি.মি.। ঢাকা হতে একটি ট্রেন সকাল ৭টায় ছেড়ে গিয়ে বিকেল ৩টায় চট্টগ্রাম পৌঁছে। ট্রেনটির গড় গতিবেগ ঘণ্টায় কত ছিল?,MATHEMATICAL-REASONING,B,২৪.৫ কি.মি.,৩৭.৫ কি.মি.,৪২.০ কি.মি.,৪৫.০ কি.মি.
একটি সমদ্বিবাহু ত্রিভূজের ভূমি ১৬ মি. এবং অপর দুটি বাহুর প্রতিটি ১০ মি. হলে ত্রিভুজটির ক্ষেত্রফল কত?,MATHEMATICAL-REASONING,C,৩৬ ব.মি.,৪২ ব.মি,৪৮ ব.মি.,৫০ ব.মি.
দুটি সংখ্যার অনুপাত ৫∶৮ । উভয়ের সাথে ২ যোগ করলে অনুপাতটি ২∶৩ হয়। সংখ্যা দুটি কি কি?,MATHEMATICAL-REASONING,D,৭ ও ১১,১২ ও ১৮,১০ ও ২৪,১০ ও ১৬
একটি সরল রেখার ওপর অঙ্কিত বর্গ ঐ সরল রেখার অর্ধেকের ওপর অঙ্কিত বর্গের কত গুণ?,MATHEMATICAL-REASONING,C,দ্বিগুণ,তিনগুণ,চারগুণ,পাঁচগুণ
"\(\mathrm {x}\) ও \(\mathrm{y}\) -এর মানের গড় ৯ এবং , \(\mathrm {z=১২}\) হলে, \(\mathrm {x,y}\) এবং \(\mathrm {z}\) এর মানের গড় কত হবে?",MATHEMATICAL-REASONING,C,৬,৯,১০,১২
‘বাঙ্গালা ভাষার ইতিবৃত্ত’ কার রচনা?,BANGLA-LITERATURE,A,মুহম্মদ শহীদুল্লাহ,মুহম্মদ আবদুল হাই,মুনীর চৌধুরী,মোফাজ্জল হায়দার চৌধুরী
‘প্রভাবতী সম্ভাষণ’ কার রচনা?,BANGLA-LITERATURE,B,দেবেন্দ্রনাথ ঠাকুর,ঈশ্বরচন্দ্র বিদ্যাসাগর,রামমোহন রায়,কৃষ্ণমোহন বন্দ্যোপাধ্যায়
‘চতুর্দশপদী কবিতাবলী’ কার রচনা?,BANGLA-LITERATURE,C,হেমচন্দ্র বন্দ্যোপাধ্যায়,নবীনচন্দ্র সেন,মাইকেল মধুসূদন দত্ত,রঙ্গলাল বন্দ্যোপাধ্যায়
কোনটি কাজী নজরুল ইসলাম রচিত গ্রন্থ?,BANGLA-LITERATURE,A,বিষের বাঁশী,বন্দীর বন্দনা,সন্দ্বীপের চর,রূপসী বাংলা
‘কবর’ নাটক কার রচনা?,BANGLA-LITERATURE,C,শহীদুল্লাহ কায়সার,জহির রায়হান,মুনীর চৌধুরী,সত্যেন সেন
‘চাঁদের হাট’- অর্থ কী?,BANGLA-LANGUAGE,C,বন্ধুদের সমাগম,আত্মীয় সমাগম,প্রিয়জন সমাগম,গণ্যমান্যদের সমাগম
কোন বানানটি শুদ্ধ?,BANGLA-LANGUAGE,D,সূচিষ্মিতা,সূচিস্মিতা,সুচীস্মিতা,শুচিস্মিতা
‘কর্মে যাহার ক্লান্তি নাই’ এই বাক্যাংশের সংক্ষিপ্ত রূপ কি?,BANGLA-LANGUAGE,C,ক্লান্তিহীন,অক্লান্ত,অক্লান্তকর্মী,অবিশ্রাম
ণ-ত্ব বিধি সাধারণত কোন শব্দে প্রযোজ্য?,BANGLA-LANGUAGE,C,দেশী,বিদেশী,তৎসম,তদ্ভব
ক্রিয়াপদ–,BANGLA-LANGUAGE,B,সবসময়ে বাক্যে থাকবে,কখনো কখনো বাক্যে উহ্য থাকতে পারে,শুধু অতীতকাল বোঝাতে বাক্যে ব্যবহৃত হয়,আসলে বিশেষণ থেকে অভিন্ন
কোনটি অনুজ্ঞা?,BANGLA-LANGUAGE,B,তুমি গিয়েছিলে,তুমি যাও,তুমি যাচ্ছিলে,তুমি যাচ্ছ
‘যত বড় মুখ নয় তত বড় কথা’- এখানে ‘মুখ’ বলতে কী বোঝাচ্ছে?,BANGLA-LANGUAGE,D,অনুভূতি,গালি,প্রত্যঙ্গ,শক্তি
কোন বানানটি শুদ্ধ?,BANGLA-LANGUAGE,B,মুমুর্ষু,মুমূর্ষু,মূমুর্ষু,মূমূর্ষূ
‘বিরাগী’ শব্দের অর্থ কী?,BANGLA-LANGUAGE,A,উদাসীন,প্রতিকূল,রাগহীন,বিশেষভাবে রুষ্ট
‘ব্রজবুলি’ বলতে কী বোঝায়?,BANGLA-LITERATURE,B,ব্রজধামে কথিত ভাষা,এক রকম কৃত্রিম কবিভাষা,বাংলা ও হিন্দির যোগফল,মৈথিলি ভাষার একটি উপভাষা
"‘সবার উপরে মানুষ সত্য, তাহার উপরে নাই’- কে বলেছেন?",BANGLA-LITERATURE,A,চণ্ডীদাস,বিদ্যাপতি,রামকৃষ্ণ পরমহংস,বিবেকানন্দ
কোনটি রবীন্দ্রনাথের রচনা?,BANGLA-LITERATURE,A,চতুরঙ্গ,চতুষ্কোণ,চতুর্দশী,চতুষ্পাঠী
কোনটি কাব্যগ্রন্হ?,BANGLA-LITERATURE,C,কবিতা,কাব্য পরিক্রমা,কয়েকটি কবিতা,বাঙলার কাব্য
কোনটি নাটক?,BANGLA-LITERATURE,D,কর্তার ইচ্ছায় কর্ম,গড্ডলিকা,পল্লীসমাজ,সাজাহান
‘আবোল-তাবোল’ কার লেখা?,BANGLA-LITERATURE,C,উপেন্দ্রকিশোর রায় চৌধুরী,দক্ষিণারঞ্জন মিত্র মজুমদার,সুকুমার রায়,সত্যজিৎ রায়
,ENGLISH-LANGUAGE,C,concerned careful,anxious nervous,enthusiastic halfhearted,devoted dedicated
Lengthen	Prolong,ENGLISH-LANGUAGE,A,stretch	 extend,distance	   reduce,draw out  	shorten,reach out	 cut short
Delay	Retard,ENGLISH-LANGUAGE,C,postpone	  promote,adjourn	   start,slow down	hold up,defer	  accelerate
Submissive 	Disobedient,ENGLISH-LANGUAGE,C,comply	 conform,heed	 acquiesce,observe	 defy,obey	 hearken to.
Q. 25 to 30 are incomplete sentences. Choose the word or phrase that best completes the sentence. He fantasized ____ winning the lottery.,ENGLISH-LANGUAGE,D,with,from,after,about
The parthenon is said ____ erected in the Age of Pericles.,ENGLISH-LANGUAGE,C,to have become,to have begun,to have been,to have had begun
He divided the money ____  the two children.,ENGLISH-LANGUAGE,B,among,between,in between,over
As they waited Rahim argued against war–,ENGLISH-LANGUAGE,C,While his brother discusses the effects of pollution,While his brother discussed the effects of pollution,While his brother was discussing the effects of pollution,While his brother had discussed the effects of pollution
"If we want concrete proof, we are looking for ____.",ENGLISH-LANGUAGE,A,clear evidence,building material,a cement mixer,something to cover a path
The Olympic games were watched by ___ billions people all over the world.,ENGLISH-LANGUAGE,D,exactly,usually,truly,literally
The author thinks that true learning will lead to ___.,ENGLISH-LANGUAGE,D,personal understanding of the ideas or writers,discovery of the unknown world,revelation of the mysteries of the world,better expressive powers
Which of the following best describes the author’s atitude towards learning?,ENGLISH-LANGUAGE,C,Learning is not a matter of reading extensively,Learning is not something to be demonstrated in examinations,Learning is a matter of promoting creativity in students.,Leanrning is a matter of memorization
"Read the following passage and answer questions number 33, 34, 35 and 36 that refer to this passage. The gypsies are a tribe of strange people. They do not have any fixed home, but wander about from place to place and live in tents. They were originally natives of India. But as they reached England from Egypt, the English took them for Egyptians. This is why they came to be called gypsies. They were beloved to possess strange powers. They could tell your fortune by reading the palm of your hand. It was thought they stole little children to train them in their way of life. Whenever a child got lost, It was thought that it had been carried away by gypisies, So they were arrested and sent for trial. But this attitude towards the gypsies has gradually changed. The gypsies are people who ____.",ENGLISH-LANGUAGE,C,have a settled way of life.,came originally from Egypt to England,are always on the move,steal children to train them in the way of life
The gypsies like to live in tents because ____.,ENGLISH-LANGUAGE,D,it is easy to hide stolen children in a tent,it is easy to raed one’s palm inside a tent,it is easy to bring them from Egypt,it is easy to pitch them
The English took them for Egyptian’s means-,ENGLISH-LANGUAGE,B,The English took them to the Egyptians,The English considered them to be Egyptians,The English were taken in by the Egyptians,The Englsih brought them as far as to Egypt
Attitude towards the gypsies ____.,ENGLISH-LANGUAGE,D,are still the same as before,have not much changed over the years,can change once they stop stealing children,have shown signs of change
Questions 37 to 40 are incomplete setences. Chose the one word or phrase that best completes the sentence. The tree has been blown ___ by the strong wind.,ENGLISH-LANGUAGE,A,away,up,off,out
No one can ___ that he is clever.,ENGLISH-LANGUAGE,C,defy,admire,deny,denounce
A reward has been announced for the employees who ___ hard.,ENGLISH-LANGUAGE,A,have worked,has worked,will be work,have had worked
"To ___ the arrival of spring, Bangladesh Television ____ a special function.",ENGLISH-LANGUAGE,C,Commemorate : launched,Announce : telecast,Celebrate : organied,Welcome : sanctionzed
একটি গাড়ির চাকা প্রতি মিনিটে ৯০ বার ঘুরে। এক সেকেন্ডে চাকাটি কত ডিগ্রি ঘুরে?,MATHEMATICAL-REASONING,D,\(\mathrm{১৮০^\circ}\),\(\mathrm{২৭০^\circ}\),\(\mathrm{৩৬০^\circ}\),\(\mathrm{৫৪০^\circ}\)
একটি ক্লাসে ৩০ জন ছাত্র আছে তাদের মধ্যে ১৮ জন ফুটবল খেলে এবং ১৪ জন ক্রিকেট খেলে এবং ৫ জন কিছুই খেলে না। কত জন উভয়টিই খেলে?,MATHEMATICAL-REASONING,C,৩,৫,৭,৯
একটি সোনার গহনার ওজন ১৬ গ্রাম। এতে সোনা ও তামার অনুপাত ৩ : ১। এতে কি পরিমাণ সোনা মেশালে অনুপাত ৪ : ১ হবে?,MATHEMATICAL-REASONING,D,৮ গ্রাম,৬ গ্রাম,৩ গ্রাম,৪ গ্রাম
"১,০০০ টাকা ক ও খ ১ : ৪ অনুপাতে ভাগ করে নেয়। খ-এর অংশ সে এবং তার মা ও মেয়ের মধ্যে ২ : ১ : ১ অনুপাতে ভাগ করে। মেয়ে কত টাকা পাবে?",MATHEMATICAL-REASONING,C,১০০ টাকা,৪০০ টাকা,২০০ টাকা,৮০০ টাকা
"৯৯৯৯৯৯-এর সঙ্গে কোন ক্ষুদ্রতম সংখ্যা যোগ করলে যোগফল ২, ৩, ৪, ৫ এবং ৬ দ্বারা নিঃশেষে বিভাজ্য হবে?",MATHEMATICAL-REASONING,A,২১,৩৯,৩৩,২৯
