Question,Subject,Answer,A,B,C,D,DEEP_SEEK,OPEN_AI,GEMINI,LLAMA
A rolling stone gathers no moss. What ‘rolling’ is?,ENGLISH-LANGUAGE,C,Gerund,Verbal noun,Participle,Adjective,C,C,B,D
‘He has been ill ____ Friday last’ Fill in the blank.,ENGLISH-LANGUAGE,A,Since,In,From,On,A,D,C,C
Which is the noun of the word ‘beautiful’?,ENGLISH-LANGUAGE,B,Beautious,Beauty,Beautifully,Beautify,B,B,B,B
‘Hold water’ means-,ENGLISH-LANGUAGE,C,Keep water,Drink water,Bear examination,Store water,C,C,C,C
‘Out and Out’ means–,ENGLISH-LANGUAGE,B,Not at all,Thoroughly,To be last,Man of outside,B,B,B,B
Choose the correct sentence–,ENGLISH-LANGUAGE,D,Rice is not always happy,The rich is not always happy,The rich is not happy always,The rich are not always happy,D,D,D,D
Choose the correct sentence–,ENGLISH-LANGUAGE,C,He had been hunged for murder,He has been hunged for murder,He was hanged for murder,He was hunged of murder,C,C,C,C
‘Syntax’ means–,ENGLISH-LANGUAGE,B,Manner of speech,Sentence building,Supplementary tax,Synchrounizing act,B,B,B,B
‘Justice delayed is justice denied’ was stated by-,ENGLISH-LITERATURE,C,Disraeli,Emerson,Gladstone,Shakespeare,C,B,A,B
বাংলাদেশের জাতীয় পতাকার মাপের অনুপাত কত?,BANGLADESH-AFFAIRS,C,৯ : ৫,৯ : ৫,১০ : ৬,৮ : ৬,A,A,A,3:2
বাংলাদেশের বৃহত্তম নদী কোনটি?,BANGLADESH-AFFAIRS,A,মেঘনা,পদ্মা,ব্রহ্মপুত্র,যমুনা,B,C,C,C
কোন জেলা তুলা চাষের জন্য সবচেয়ে বেশি উপযোগী?,BANGLADESH-AFFAIRS,,রাজশাহী,ফরিদপুর,রংপুর,যশোর,A,C,A,Б
ইউরিয়া সারের কাঁচামাল-,BANGLADESH-AFFAIRS,D,অপরিশোধিত তেল,ক্লিংকার,অ্যামোনিয়া,মিথেন গ্যাস,C,C,C,D
বাসস একটি–,BANGLADESH-AFFAIRS,A,সংবাদ সংস্থার নাম,একটি প্রেস ক্লাবের নাম,একটি খবরের কাগজের নাম,একটি বিদেশী কোম্পানির নাম,A,A,A,A
বাংলাদেশে শহীদ বুদ্ধিজীবী দিবস পালিত হয়-,BANGLADESH-AFFAIRS,D,২৬ মার্চ,১৬ ডিসেম্বর,২১ ফেব্রুয়ারি,১৪ ডিসেম্বরর,D,D,D,D
বাংলাদেশের কোন বনভূমি শালবৃক্ষের জন্য বিখ্যাত?,BANGLADESH-AFFAIRS,C,সিলেটের বনভূমি,পার্বত্য চট্টগ্রামের বনভূমি,ভাওয়াল ও মধুপুরের বনভূমি,"খুলনা, বরিশাল ও পটুয়াখালীর বনভূমি",C,B,B,C
চীন-বাংলাদেশ মৈত্রী সেতু-১ নির্মাণের প্রধান উদ্দেশ্য–,BANGLADESH-AFFAIRS,D,ঢাকা শহরকে নদীর ওপারে বিস্তৃত করা,বাংলাদেশ ও চীনের মধ্যে সুসম্পর্কের স্থায়ী বন্ধন সৃষ্টি করা,ঢাকা-আরিচা রোড যানবাহন চলাচলের চাপ কমানো,দেশের দক্ষিণ অঞ্চলের সাথে ঢাকার পরিবহন ব্যবস্থা উন্নত করা,C,B,B,D
হরিপুরে তেল আবিষ্কৃত হয়–,BANGLADESH-AFFAIRS,B,১৯৪৭ সালে,১৯৮৬ সালে,১৯৮৫ সালে,১৯৮৪ সালে,D,B,B,C
মিশুকের স্থপতি কে?,BANGLADESH-AFFAIRS,A,মুস্তফা মনোয়ার,হামিদুর রহমান,শামীম শিকদার,হামিদুজ্জামান খান,A,D,A,D
বাংলাদেশের কোন জেলায় সবচেয়ে বেশি পাট উৎপন্ন হয়?,BANGLADESH-AFFAIRS,D,রংপুর,ময়মনসিংহ,টাঙ্গাইল,ফরিদপুর,A,A,B,C
বাংলাদেশের মোট আবাদয্যেগ্য জমির পরিমাণ প্রায় কত?,BANGLADESH-AFFAIRS,,২ কোটি ৪০ লক্ষ একর,২ কোটি ৫০ লক্ষ একর,২ কোটি একর,২ কোটি ২৫ লক্ষ একর,B,B,A,B
উপকূল হতে বাংলাদেশের অর্থনৈতিক সমুদ্রসীমা কত?,BANGLADESH-AFFAIRS,B,২৫০ নটিক্যাল মাইল,২০০ নটিক্যাল মাইল,২২৫ নটিক্যাল মাইল,১০ নটিক্যাল মাইল,B,A,B,B
মহাস্থানগড় কোন নদীর তীরে অবস্থিত?,BANGLADESH-AFFAIRS,A,করতোয়া,গঙ্গা,ব্রহ্মপুত্র,মহানন্দা,A,A,A,A
ঔষধ নীতির প্রধান উদ্দেশ্য হলো–,BANGLADESH-AFFAIRS,A,অপ্রয়োজনীয় এবং ক্ষতিকর ঔষধ প্রস্তুত বন্ধ করা,ঔষধ শিল্পে দেশীয় কাঁচামালের ব্যবহার নিশ্চত করা,ঔষধ শিল্পে দেশীয় শিল্পপতিদের অগ্রাধিকার দেয়া,বিদেশী শিল্পপতিদের দেশীয় কাঁচামাল ব্যবহারে বাধ্য করা,A,A,A,A
বিকেএসপি হলো–,BANGLADESH-AFFAIRS,A,একটি ক্রীড়া শিক্ষা সংস্থার নাম,একটি সংবাদ সংস্থার নাম,একটি কিশোর ফুটবল টিমের নাম,একটি সঙ্গীত শিক্ষা প্রতিষ্ঠানের নাম,A,A,A,A
মা ও মনি হলো–,BANGLADESH-AFFAIRS,C,একটি উপন্যাসের নাম,একটি প্রসাধনী শিল্পের নাম,একটি ক্রীড়া প্রতিযোগিতার নাম,একটি গরিব মা ও মেয়ের গল্প কাহিনী,D,D,D,A
প্রাচীন ‘চন্দ্রদ্বীপ’- এর বর্তমান নাম–,BANGLADESH-AFFAIRS,C,মালদ্বীপ,সন্দ্বীপ,বরিশাল,হাতিয়া,B,A,A,B
আন্তর্জাতিক আণবিক শক্তি সংস্থা (IAEA) এর সদর দপ্তর–,INTERNATIONAL-AFFAIRS,A,ভিয়েনা,বন,জেনেভা,রোত,A,A,A,A
জাপানের পার্লামেন্টের নাম–,INTERNATIONAL-AFFAIRS,A,ডায়েট,পিনসাস,নেসেট,শুরা,A,A,A,A
আমেরিকাকে এশিয়া থেকে পৃথক করেছে কোন প্রণালী?,INTERNATIONAL-AFFAIRS,D,ফ্লোরিডা,পক,জিব্রাল্টার,বেরিং,D,D,D,D
সাউথ কমিশনের চেয়ারম্যান–,INTERNATIONAL-AFFAIRS,C,জেনারেল সুহার্তো,রবার্ট মুগাবে,জুলিয়াস নায়ারে,ফিডেল ক্যাস্ট্রো,C,C,A,A
আন্তর্জাতিক পরিবেশ দিবস পালিত হয়–,INTERNATIONAL-AFFAIRS,C,৭ জুলাই,৯ মার্চ,৫ জুন,২১ মে,C,C,C,C
জাতিসংঘ দিবস পালিত হয়–,INTERNATIONAL-AFFAIRS,A,২৪ অক্টোবর,২৪ আগস্ট,২৪ ডিসেম্বর,২৪ নভেম্বর,A,A,A,A
নামিবিয়ার রাজধানী–,INTERNATIONAL-AFFAIRS,B,কারাভু,উইন্ডহুক,প্রিটোরিয়া,কোটাভি,B,B,B,B
ইসলামী উন্নয়ন ব্যাংক ঋণ প্রদান করে–,INTERNATIONAL-AFFAIRS,B,স্বাভাবিক সুদে,বিনা সুদে,অল্প সুদে,অতি সামান্য সুদে,B,B,B,B
ওডারনীস নদী–,INTERNATIONAL-AFFAIRS,A,পূর্ব জার্মানি ও পোল্যান্ডেরর মধ্যে সীমা নির্ধারক,পশ্চিম জার্মানি ও চেক প্রজাতন্ত্রের মধ্যে সীমা নির্ধারক,পশ্চিম জার্মানি ও পোল্যান্ডের মধ্যে সীমা নির্ধারক,সংযুক্ত জার্মান ও ফ্রান্সের মধ্যে সীমা নির্ধারক,A,C,A,A
‘হারারে’ এর পুরাতন নাম–,INTERNATIONAL-AFFAIRS,A,সলসবেরি,ফরমোজা,পেট্রোগ্রাড,রোডেসিয়া,B,D,D,A
পবিত্রভূমি কোনটিকে বলা হয়?,INTERNATIONAL-AFFAIRS,B,প্যালেস্টাইন,জেরুজালেম,জেদ্দা,তায়েফ,B,B,A,A
এডেন কোন দেশের সমুদ্রবন্দর?,INTERNATIONAL-AFFAIRS,A,ইয়েমেন,কাতার,ওমান,ইরাক,A,A,A,A
মালদ্বীপের মুদ্রার নাম কি?,INTERNATIONAL-AFFAIRS,D,রুপী,ডলার,পাউন্ড,রুপাইয়া,A,A,D,A
১৯৯২ সালে বিশ্ব অলিম্পিক অনুষ্ঠিত হয় কোথায়?,INTERNATIONAL-AFFAIRS,A,বার্সালোনা,জুরিখ,বার্লিন,ব্রাসেলস,A,A,A,A
আফটা \({\mathrm{(AFTA)}}\) বলতে কি বোঝায়–,INTERNATIONAL-AFFAIRS,A,একটি বাণিজ্যিক গোষ্ঠী,পূর্ব আফ্রিকার একটি সংবাদ সংস্থা,একটি বিমান সংস্থা,একটি সামরিক চুক্তি,A,A,A,A
আন্তর্জাতিক রোটারি সংস্থার প্রতিষ্ঠাতা–,INTERNATIONAL-AFFAIRS,B,\({\mathrm{W. Wilson}}\),\({\mathrm{Paul\ Harris}}\),\({\mathrm{Baden\ Powel}}\),\({\mathrm{H. Wilson}}\),B,B,B,B
"চালের মূল্য ১২% কমে যাওয়ায় ৬,০০০ টাকায় পূর্বাপেক্ষা ১ কুইন্টাল চাল বেশি পাওয়া যায়। ১ কুইন্টাল চালের বর্তমান মূল্য কত?",MATHEMATICAL-REASONING,C,৭৫০ টাকা,৭০০ টাকা,৭২০ টাকা,৭৫ টাকা,C,A,A,C
"একটি আয়তাকার ক্ষেত্রের দৈর্ঘ্য বিস্তারের ৩ গুণ। দৈর্ঘ্য ৪৮ মিটার হলে, ক্ষেত্রটির পরিসীমা কত?",MATHEMATICAL-REASONING,A,১২৮ মিটার,১৪৪ মিটার,৬৪ মিটার,৯৬ মিটার,B,A,A,B
ক ঘন্টায় ১০ কি.মি. এবং খ ঘন্টায় ১৫ কি.মি. বেগে একই সময় একই স্থান থেকে রাজশাহীর পথে রওয়ানা হলো। ক ১০.১০ মিনিটের সময় এবং খ ৯.৪০ মিনিটের সময় রাজশাহী পৌঁছল। রওয়ানা হওয়ার স্থান থেকে রাজশাহীর দূরত্ব কত কি.মি.?,MATHEMATICAL-REASONING,C,২০ কি.মি.,২৫ কি.মি.,১৫ কি.মি.,২৮ কি.মি.,B,A,B,B
"১৯, ৩৩, ৫১, ৭৩, –––। পরবর্তী সংখ্যাটি কত?",MATHEMATICAL-REASONING,C,৮৫,১২১,৯৯,৯৮,C,A,C,C
একটি ক্রিকেট দলে যতজন স্ট্যাম্প আউট হলো তার দেড়গুণ কট আউট হলো এবং মোট উইকেটের অর্ধেক বোল্ড আউট হলো। এই দলের কতজন কট আউট হলো?,MATHEMATICAL-REASONING,B,৪ জন,৩ জন,২ জন,৫ জন,B,A,A,B
একটি বন্দুকের গুলি প্রতি সেকেন্ডে ১৫৪০ ফুট গতিবেগে লক্ষ্যভেদ করে। এক ব্যক্তি বন্দুক ছুঁড়বার ৩ সেকেন্ড পরে লক্ষ্যভেদের শব্দ শুনতে পায়। শব্দের গতি প্রতি সেকেন্ড ১১০০ ফুট। লক্ষ্য বস্তুর দূরত্ব কত?,MATHEMATICAL-REASONING,B,২০২৫ ফুট,১৯২৫ ফুট,১৯৭৫ ফুট,১৮৭৫ ফুট,B,B,A,C
"একটি বৃত্তের ব্যাসার্ধকে যদি \({\mathrm{r}}\) থেকে বৃদ্ধি করে \({\mathrm{r + n}}\) করা হয়, তবে তার ক্ষেত্রফল দ্বিগুণ হয়। \({\mathrm{r}}\)-এর মান কত?",MATHEMATICAL-REASONING,A,\({\mathrm{n\over \sqrt2-1}}\),\({\mathrm{n + \sqrt2}}\),\({\mathrm{\sqrt{2n}}}\),\({\sqrt {2\mathrm{(n + 1)}}}\),A,A,A,
\({\mathrm{a-{\{a-(a+1) = }}}\) কত?,MATHEMATICAL-REASONING,D,‍\(\mathrm {a-1}\),‍\(\mathrm {1}\),‍\(\mathrm {a}\),‍\(\mathrm {a+1}\),B,A,A,
একটি পাত্রে দুধ ও পানির অনুপাত ৫ : ২। যদি পানি অপেক্ষা দুধের পরিমাণ ৬ লিটার বেশি হয় পানির পরিমাণ-,MATHEMATICAL-REASONING,D,১৪ লিটার,৬ লিটার,১০ লিটার,৪ লিটার,D,A,D,
,MATHEMATICAL-REASONING,C,\({0}\),\({1}\),\({225}\),\({1}\over{225}\),C,A,A,
ক-এর বেতন খ-এর বেতন অপেক্ষা শতকরা ৩৫ টাকা বেশি হলে খ-এর বেতন ক-এর বেতন অপেক্ষা কত টাকা কম?,MATHEMATICAL-REASONING,B,২৭ টাকা,২৫.৯৩ টাকা,৪০ টাকা,২৫.৫০ টাকা,B,A,B,
১০টি সংখ্যার যোগফল ৪৬২। এদের প্রথম ৪টির গড় ৫২ এবং শেষের ৫টির গড় ৩৮। পঞ্চাম সংখ্যাটি কত?,MATHEMATICAL-REASONING,B,৬০,৬৪,৬২,৫০,B,B,A,
"পাশাপাশি দুটি বর্গক্ষেত্রের প্রত্যেক বাহু \({২০}\) ফুট। \({\mathrm{BC=৬, CF = 5}}\) ফুট, \({\mathrm{DE =}}\) কত?",MATHEMATICAL-REASONING,D,১৫ ফুট,১২ ফুট,২০ ফুট,১৮ ফুট,B,A,A,
যদি \({\mathrm{a^3-b^3=513}}\) এবং \({\mathrm{a - b = 3}}\) হয় তবে \({\mathrm{ab}}\) -এর মান কত?,MATHEMATICAL-REASONING,A,54,35,45,55,A,A,A,
\({\mathrm{(x+3)(x-3)}}\) কে \({\mathrm{x^2-6}}\) দিয়ে ভাগ করলে ভাগশেষ কত হবে?,MATHEMATICAL-REASONING,D,\({-6}\),\({3}\),\({6}\),\({-3}\),B,A,C,
২টা ১৫ মিনিটের সময় ঘণ্টার কাঁটা ও মিনিটের কাঁটার মধ্যে কত ডিগ্রি কোণ উৎপন্ন হয়?,MATHEMATICAL-REASONING,B,\(\mathrm{{২৩}^{\circ}}\),\(\mathrm{{২২}{{১}^{\circ}\over{২}}}\),\(\mathrm{{২০}^{\circ}}\),\(\mathrm{{২৩}{{১}^{\circ}\over{২}}}\),B,B,D,
এক মিটার সমান কত ইঞ্চি?,MATHEMATICAL-REASONING,B,৩৭.৩৯ ইঞ্চি,৩৯.৩৭ ইঞ্চি,৩৯.৪৭ ইঞ্চি,৩৮.৫৫ ইঞ্চি,B,B,A,
ধানের ফুলে পরাগ সংযোগ ঘটে–,GENERAL-SCIENCE,A,বাতাসের সাহায্যে ঝরে পড়ে,পাতা দ্বারা স্থানান্তরিত হয়ে,কীটপতঙ্গের সাহায্যে,ফুলে ফুলে সংস্পর্শে,A,A,A,
সমুদ্রপৃষ্ঠে বায়ুর চাপ প্রতি বর্গ সেন্টিমিটারে–,GENERAL-SCIENCE,B,১০ কি. মি.,১০ নিউটন,২৭ কি. মি.,৫ কি. মি.,B,B,B,
সর্বপ্রথমে যে উফশি ধান এ দেশে চালু হয়ে এখনো বর্তমান রয়েছে তা হলো–,GENERAL-SCIENCE,A,ইরি-৮,ইরি-১,ইরি-২০,ইরি-৩,B,B,A,
ইস্পাত সাধারণ লোহা থেকে ভিন্ন। কারণ এতে–,GENERAL-SCIENCE,B,বিশেষ ধরনের আকরিক ব্যবহার করা হয়েছে,সুনিয়ন্ত্রিত পরিমাণ কার্বন রয়েছে,সুনিয়ন্ত্রিত পরিমাণ কার্বন রয়েছে,সব বিজাতীয় দ্রব্য বের করে দেয়া হয়েছে,B,B,B,
প্রাকৃতিক গ্যাসের প্রধান উপাদান হলো–,GENERAL-SCIENCE,B,নাইট্রোজেন গ্যাস,মিথেন,হাইড্রোজেন গ্যাস,কার্বন মনোক্সাইড,B,B,B,
মৌলিক পদার্থের ক্ষুদ্রতম কণা যা রাসায়নিক প্রক্রিয়ায় অংশগ্রহণ করে তাকে বলা হয়–,GENERAL-SCIENCE,A,পরমাণু,ইলেকট্রন,অণু,প্রোটন,A,A,A,
সমুদ্র স্রোতের অন্যতম কারণ–,GENERAL-SCIENCE,A,বায়ু প্রবাহের প্রভাব,সমুদ্রের পানিতে তাপ পরিচালনা,সমু্দ্রের পানিতে ঘনত্বের তারতম্য,সমুদ্রের ঘূর্ণিঝড়,A,C,,
কাজ করার সামর্থ্যকে বলে–,GENERAL-SCIENCE,C,ক্ষমতা,কাজ,শক্তি,বল,A,C,,
রংধনু সৃষ্টির বেলায় পানির কণাগুলো–,GENERAL-SCIENCE,D,দর্পণের কাজ করে,আতষীকাচের কাজ করে,লেন্সের কাজ করে,প্রিজমের কাজ করে,D,D,D,
কাচ তৈরির প্রধান কাঁচামাল হলো–,GENERAL-SCIENCE,B,জিপসাম,বালি,সাজি মাটি,চুনাপাথর,B,B,B,
কম্পিউটারের সফটওয়্যার বলতে বুঝানো হয়–,COMPUTER-AND-INFORMATION-TECHNOLOGY,A,এর প্রোগ্রাম বা কর্ম পরিকল্পনার কৌশল,তথ্য দেয়া ও তথ্য নেয়ার অংশ বিশেষ,যেসব অংশ মুদ্রায়িত অবস্থায় থাকে,কম্পিউটার তৈরির নকশা,A,A,A,
মাইক্রোওয়েভের মাধ্যমে যে টেলিযোগাযোগ ব্যবস্থা আমাদের দেশে প্রচলিত তাতে মাইক্রোওয়েভ অধিকাংশ দূরত্ব অতিক্রম করে–,COMPUTER-AND-INFORMATION-TECHNOLOGY,A,ওয়েভ গাইডের মধ্য দিয়ে,ভূমি ও আয়নোস্ফিয়ারের মধ্যে প্রতিফলন হতে হবে,বিশেষ ধরনের ক্যাবলের মধ্য দিয়ে,খোলামেলা জায়গার মধ্য দিয়ে সরল রেখায়,D,D,D,
মানুষের ক্রোমোজোমের সংখ্যা কত?,GENERAL-SCIENCE,C,২৪ জোড়া,২৬ জোড়া,২৩ জোড়া,২৫ জোড়া,C,C,C,
সৌরকোষের বিদ্যুৎ রাতেও ব্যবহার করা সম্ভব যদি এর সঙ্গে থাকে–,GENERAL-SCIENCE,C,ট্রান্সফরমার,জেনারেটর,ষ্টোরেজ ব্যাটারি,ক্যাপামিটার,C,C,C,
বৈদ্যুতিক পাখা ধীরে ধীরে ঘুরলে বিদ্যুৎ খরচ–,GENERAL-SCIENCE,A,একই হয়,বেশি হয়,কম হয়,খুব কম হয়,A,C,B,
